Class;Date;Opening Price;Closing Price;Maximum;Minimum;Var. %;Return;MOMENTUM5;EMA12;EMA26;MACD 12-26;EMA9 of MACD 12-26;MACD 12-26-9;ROI10;ROI20;ROI30;RSI 10;RSI 14;RSI 30;STOCHRSI10;STOCHRSI14;STOCHRSI30;ADX;Williams%R(14);CCI;ATR;UO;;;;;;;;;;;;;;;;;;;;;
0;20100504;21650.48;20613.25;21699.96;20551.21;-0.047;-0.046958446;-1423.22;22003.73894;20534.6605;1469.078443;811.9723734;657.10607;-5.77365E-07;N;N;50.35443066;N;N;1;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100505;20657.45;20351.95;20782.24;20074.08;-0.013;-0.012676313;-1149.29;21749.61757;20337.89535;1411.72222;931.9223428;479.7998775;-5.99213E-07;N;N;50.8721572;N;N;1;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100506;20084.44;19483.93;20477.02;19078.07;-0.043;-0.042650459;-2211.77;21401.05025;19418.24036;1982.809891;1142.099852;840.7100383;-7.49366E-07;N;N;51.48792423;N;N;1;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;
1;20100507;19052.3;18846.18;19806.97;18846.18;-0.033;-0.032732103;-2716.3;21007.99329;18802.17536;2205.81793;1354.843468;850.9744623;-9.74094E-07;N;N;51.65014427;51.49713488;N;1;0;N;N;-100;N;N;N;;;;;;;;;;;;;;;;;;;;;
0;20100510;19153.79;20971.21;20971.21;19145.87;0.113;0.112756537;-657.7;21002.33432;21138.05882;-135.7244987;1056.729875;-1192.454373;-3.49732E-07;N;N;50.95579403;50.97910631;N;0.485155434;0;N;N;-52.96160614;N;776.6385714;N;;;;;;;;;;;;;;;;;;;;;
1;20100511;20717.16;20874.65;20894.92;20346.92;-0.005;-0.004604408;261.4;20982.69058;20854.38778;128.3027953;871.0444588;-742.7416635;-2.16382E-07;N;N;51.15766955;51.26609665;N;0.634841437;0.554004841;N;N;-53.10362207;N;765.7565306;N;;;;;;;;;;;;;;;;;;;;;
0;20100512;20787.21;21029.48;21293.84;20595.87;0.007;0.00741713;677.53;20989.88895;21042.94863;-53.05968103;686.2236308;-739.2833118;-6.4022E-08;N;N;51.25250285;51.35053056;N;0.705158125;0.716995668;N;N;-48.1072319;N;760.9146356;N;;;;;;;;;;;;;;;;;;;;;
0;20100513;21259.09;20878.83;21263.09;20664.34;-0.007;-0.007163753;1394.9;20972.80296;20866.20549;106.5974687;570.2983984;-463.7009297;-1.42112E-07;N;N;51.00621649;51.10920159;N;0.52254251;0.251135328;N;N;-51.68788757;N;749.3314473;N;;;;;;;;;;;;;;;;;;;;;
0;20100514;20701.88;19781.17;20706.76;19632.89;-0.053;-0.052572869;934.99;20789.47481;19697.70573;1091.76908;674.5925346;417.1765449;-3.84729E-07;N;N;51.32027867;50.88052668;N;0.755412319;0;N;N;-76.20557584;N;784.8034868;N;;;;;;;;;;;;;;;;;;;;;
1;20100517;19677.24;19826.83;20144.86;19569.26;0.002;0.002308256;-1144.38;20641.37561;19836.76264;804.6129734;700.5966224;104.016351;-3.87739E-07;-3.95349E-07;N;50.60230156;50.72087652;N;0.191300688;0;N;N;-68.50491062;-97.06096564;769.8603806;N;;;;;;;;;;;;;;;;;;;;;
